empresa,Nombre,status,partind,naics1,naics2,SectorEconomatica
A,"Agilent Technologies, Inc",activo,.09,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
AA,Alcoa Corp,activo,,Industrias manufactureras,Industria básica del aluminio,Siderur & Metalur
AABA_old,Altaba Inc,cancelado,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
AAC_old,Aac Hldg Inc,cancelado,,Servicios de salud y de asistencia social,Otros consultorios para el cuidado de la salud,Otros
AAIC_old,Arlington Asset Investment Corp,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
AAL,American Airlines Group Inc,activo,.02,"Transportes, correos y almacenamiento",Transporte aéreo regular,Transporte Servic
AAME,Atlantic American Corp,activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AAOI,"Applied Optoelectronics, Inc",activo,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
AAON,"Aaon, Inc",activo,,Industrias manufactureras,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",Maquinaria Indust
AAP,"Advance Auto Parts, Inc",activo,,Comercio al por menor,"Tienda de repuestos, accesorios y llantas",Comercio
AAPC_old,Atlantic Alliance Partnership Corp,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
AAPL,Apple Inc,activo,6.3,Industrias manufactureras,Fabricación de computadoras y equipo periférico,Electroelectronic
AAT,"American Assets Trust, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AAWW_old,Atlas Air Worldwide Hldg Inc,cancelado,,"Transportes, correos y almacenamiento",Transporte aéreo no regular,Transporte Servic
ABAX_old,Abaxis Inc,cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ABBV,Abbvie Inc,activo,.73,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABCB,Ameris Bancorp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ABCD_old,"Cambium Learning Group, Inc",cancelado,,Información en medios masivos,"Edición de periódicos, revistas, libros y similares",Otros
ABCO_old,Advisory Board Co,cancelado,,Construcción,Edificación residencial,Construcción
ABEO,Abeona Therapeutics Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABG,"Asbury Automotive Group, Inc",activo,,Comercio al por menor,Comercio al por menor,Comercio
ABGX_old,Abgenix Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABH_old,Bowater Inc,cancelado,,Industrias manufactureras,"Fabricación de pulpa, papel y cartón",Papel y Celulosa
ABII_old,"Abraxis Bioscience, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABI_old,Applied Biosystems Inc,cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ABM,Abm Industries Inc,activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Servicios de limpieza,Otros
ABMD_old,"Abiomed, Inc",cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ABNB,"Airbnb, Inc",activo,.16,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Servicios de limpieza,Otros
ABOS,"Acumen Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABR,"Arbor Realty Trust, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ABSI,Absci Corp,activo,,"Servicios profesionales, científicos y técnicos",Servicios de investigación científica y desarrollo,Otros
ABS_old,Albertsons Inc,cancelado,,Comercio al por menor,Almacenes de alimentos,Comercio
ABT,Abbott Laboratories,activo,.48,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABTX_old,"Allegiance Bancshares, Inc",cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ABVC,"Abvc Biopharma, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AC,"Associated Capital Group, Inc",activo,,Servicios financieros y de seguros,"Casas de bolsa, casas de cambio y centros cambiarios",Finanzas y Seguros
ACA,"Arcosa, Inc",activo,,Industrias manufactureras,Fabricación de estructuras metálicas y productos de herrería,Siderur & Metalur
ACAD,Acadia Pharmaceuticals Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACAS_old,"American Capital, Ltd",cancelado,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
ACAT__old,Arctic Cat Inc,cancelado,,Industrias manufactureras,Fabricación de otro equipo de transporte,Vehículos y Pieza
ACBI_old,"Atlantic Capital Bancshares, Inc",cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ACCD,"Accolade, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
ACCO,Acco Brands Corp,activo,,Industrias manufactureras,Impresión e industrias conexas,Otros
ACC_old,American Campus Communities Inc,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
ACDC,Profrac Holding Corp,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
ACDO_old,Accredo Health Inc,cancelado,,Servicios de salud y de asistencia social,Servicios de salud y de asistencia social,Otros
ACER_old,Acer Therapeutics Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACET_old,Aceto Corp,cancelado,,Comercio al por mayor,Comercio al por mayor de remédios,Comercio
ACFC_old,Atlantic Coast Financial Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ACF_old,"General Motors Financial Company, Inc",cancelado,,Servicios financieros y de seguros,Servicios financieros y de seguros,Finanzas y Seguros
ACGN_old,"Aceragen, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACHC,"Acadia Healthcare Company, Inc",activo,,Servicios de salud y de asistencia social,Otros consultorios para el cuidado de la salud,Otros
ACHN_old,Achillion Pharmaceuticals Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACHV,"Achieve Life Sciences, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACI,"Albertsons Companies, Inc",activo,,Comercio al por menor,Almacenes de alimentos,Comercio
ACIA_old,"Acacia Comm, Inc",cancelado,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
ACIC,American Coastal Insurance Corp,activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
ACIW,"ACI Worldwide, Inc",activo,,Información en medios masivos,Edición de software,Software y Datos
ACLS,Axcelis Technologies Inc,activo,,Industrias manufactureras,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Maquinaria Indust
ACLX,"Arcellx, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACL_old,Alcon Inc,cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ACM,Aecom,activo,,"Servicios profesionales, científicos y técnicos","Servicios de arquitectura, ingeniería y actividades relacionadas",Otros
ACMR,"Acm Research, Inc",activo,,Industrias manufactureras,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Maquinaria Indust
ACNB,Acnb Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ACNT,Ascent Industries Co.,activo,,Industrias manufactureras,Fabricación de productos de hierro y acero,Siderur & Metalur
ACOR,"Acorda Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACPW_old,"P10 Industries, Inc",cancelado,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
ACRE,Ares Commercial Real Estate Corp,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ACRS,"Aclaris Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACRV,"Acrivon Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
